title,year,language,primary_genre,genres,director,lead_actor,has_love_triangle,review_notes
Haseena Maan Jaayegi,1999,Hindi,comedy,"comedy, romance, drama",David Dhawan,Govinda,True,Verify if romance subplot is significant enough to tag as has_romance
Thenali,2000,Tamil,comedy,"comedy, romance, drama",K. S. Ravikumar,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Dulhan Hum Le Jayenge,2000,Hindi,comedy,"comedy, romance, family",David Dhawan,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Chal Mere Bhai,2000,Hindi,comedy,"comedy, romance, family",David Dhawan,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Dil Chahta Hai,2001,Hindi,comedy,"comedy, drama, romance, adventure",Farhan Akhtar,Aamir Khan,False,Verify if romance subplot is significant enough to tag as has_romance
Dum Dum Dum,2001,Tamil,comedy,"comedy, romance, drama, musical",Boopathy Pandian,Jyothika,True,Verify if romance subplot is significant enough to tag as has_romance
Nuvvu Naaku Nachav,2001,Telugu,comedy,"comedy, romance, drama, family",E.V.V. Satyanarayana,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Nuvvu Naaku Nachchav,2001,Telugu,comedy,"comedy, romance, drama",Kodi Ramakrishna,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Dumm Dumm Dumm,2001,Tamil,comedy,"comedy, romance, drama, musical",Boopathy Pandian,Madhavan,True,Verify if romance subplot is significant enough to tag as has_romance
Jodi No. 1,2001,Hindi,comedy,"comedy, romance, drama",David Dhawan,Govinda,True,Verify if romance subplot is significant enough to tag as has_romance
Mere Yaar Ki Shaadi Hai,2002,Hindi,comedy,"comedy, romance, drama",Sanjay Gadhvi,Jimmy Sheirgill,True,Verify if romance subplot is significant enough to tag as has_romance
Pammal K Sambandam,2002,Tamil,comedy,"comedy, romance, drama",Venkat Prabhu,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Allari,2002,Telugu,comedy,"action, comedy, romance",Ravi Babu,Nithin,True,Verify if romance subplot is significant enough to tag as has_romance
Pammal K. Sambandam,2002,Tamil,comedy,"comedy, romance, family",Moulee,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Panchathantiram,2002,Tamil,comedy,"comedy, romance, drama",K. S. Ravikumar,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Munna Bhai M.B.B.S.,2003,Hindi,comedy,"comedy, drama, romance",Rajkumar Hirani,Sanjay Dutt,True,Verify if romance subplot is significant enough to tag as has_romance
Hungama,2003,Hindi,comedy,"comedy, romance, drama",Priyadarshan,Akshaye Khanna,True,Verify if romance subplot is significant enough to tag as has_romance
Nala Damayanthi,2003,Tamil,comedy,"comedy, romance, adventure",Mouli,Madhavan,True,Verify if romance subplot is significant enough to tag as has_romance
Boys,2003,Tamil,comedy,"comedy, romance, drama, musical",S. Shankar,Siddharth,False,Verify if romance subplot is significant enough to tag as has_romance
Thiruda Thirudi,2003,Tamil,comedy,"action, comedy, romance, thriller",Subramaniam Siva,Dhanush,False,Verify if romance subplot is significant enough to tag as has_romance
Englishkaran,2003,Tamil,comedy,"action, comedy, romance",Sakthi Chidambaram,Sathyaraj,True,Verify if romance subplot is significant enough to tag as has_romance
Ishq Vishk,2003,Hindi,comedy,"comedy, drama, romance",Ken Ghosh,Shahid Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Will You Marry Me?,2004,Hindi,comedy,"comedy, romance",David Dhawan,Fardeen Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Mujhse Shaadi Karogi,2004,Hindi,comedy,"comedy, romance, action",David Dhawan,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Naa Alludu,2004,Telugu,comedy,"comedy, romance, drama, family",S. V. Krishna Reddy,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Shankar Dada MBBS,2004,Telugu,comedy,"comedy, drama, romance, action",Dasari Narayana Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Vasool Raja MBBS,2004,Tamil,comedy,"comedy, drama, romance",Saran,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Dil Maange More!!!,2004,Hindi,comedy,"comedy, romance",Anant Mahadevan,Shahid Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Garam Masala,2005,Hindi,comedy,"comedy, romance",Priyadarshan,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Bunty Aur Babli,2005,Hindi,comedy,"comedy, crime, romance, adventure",Shaad Ali,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
No Entry,2005,Hindi,comedy,"comedy, romance",Anees Bazmee,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Oka Oorilo,2005,Telugu,comedy,"comedy, romance, drama, family",Priyadarshan,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Maine Pyaar Kyun Kiya?,2005,Hindi,comedy,"comedy, romance",David Dhawan,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Golmaal: Fun Unlimited,2006,Hindi,comedy,"comedy, romance, family",Rohit Shetty,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Lage Raho Munna Bhai,2006,Hindi,comedy,"comedy, drama, romance, fantasy",Rajkumar Hirani,Sanjay Dutt,True,Verify if romance subplot is significant enough to tag as has_romance
Bhagam Bhag,2006,Hindi,comedy,"comedy, romance, adventure",Priyadarshan,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Chup Chup Ke,2006,Hindi,comedy,"comedy, romance, drama",Priyadarshan,Shahid Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Seema Tapakai,2006,Telugu,comedy,"comedy, romance, drama",S.V. Krishna Reddy,Allari Naresh,True,Verify if romance subplot is significant enough to tag as has_romance
Jaan-E-Mann,2006,Hindi,comedy,"comedy, romance, drama, musical",Shirish Kunder,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Welcome,2007,Hindi,comedy,"action, comedy, romance",Anees Bazmee,Akshay Kumar,False,Verify if romance subplot is significant enough to tag as has_romance
Heyy Babyy,2007,Hindi,comedy,"comedy, drama, family, romance",Sajid Khan,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Partner,2007,Hindi,comedy,"comedy, romance, drama",David Dhawan,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Singh Is Kinng,2008,Hindi,comedy,"action, comedy, romance, adventure",Anees Bazmee,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Dostana,2008,Hindi,comedy,"comedy, romance, drama",Tarun Mansukhani,Abhishek Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
God Tussi Great Ho,2008,Hindi,comedy,"comedy, drama, fantasy, romance",Rumi Jaffery,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Ashta Chamma,2008,Telugu,comedy,"comedy, romance, drama",G. Nageswara Reddy,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Chintakayala Ravi,2008,Telugu,comedy,"comedy, romance, drama, family",Yogesh KMC,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Kismat Konnection,2008,Hindi,comedy,"comedy, drama, romance",Aziz Mirza,Shahid Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
3 Idiots,2009,Hindi,comedy,"comedy, drama, romance",Rajkumar Hirani,Aamir Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Saradaga Kasepu,2009,Telugu,comedy,"comedy, romance",Brahmanandam,Allari Naresh,True,Verify if romance subplot is significant enough to tag as has_romance
All the Best: Fun Begins,2009,Hindi,comedy,"comedy, romance, drama",Rohit Shetty,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
De Dana Dan,2009,Hindi,comedy,"comedy, romance, adventure",Priyadarshan,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Snehituda,2009,Telugu,comedy,"comedy, romance, drama",Srinivas Avasarala,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Housefull,2010,Hindi,comedy,"comedy, romance",Sajid Khan,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Tees Maar Khan,2010,Hindi,comedy,"action, comedy, crime, romance",Farah Khan,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Khatta Meetha,2010,Hindi,comedy,"comedy, drama, romance",Priyadarshan,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Maryada Ramanna,2010,Telugu,comedy,"comedy, action, romance, family",S.S. Rajamouli,Sunil,True,Verify if romance subplot is significant enough to tag as has_romance
Manmadhan Ambu,2010,Tamil,comedy,"comedy, romance, mystery, thriller",K. S. Ravikumar,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Namo Venkatesa,2010,Telugu,comedy,"comedy, romance, drama, family",Srinu Vaitla,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Boss Engira Bhaskaran,2010,Tamil,comedy,"comedy, romance, drama",M. Rajesh,Arya,True,Verify if romance subplot is significant enough to tag as has_romance
Milenge Milenge,2010,Hindi,comedy,"comedy, romance",Satish Kaushik,Shahid Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Vicky Donor,2011,Hindi,comedy,"comedy, romance, drama",Shoojit Sircar,Ayushmann Khurrana,True,Verify if romance subplot is significant enough to tag as has_romance
Pyaar Ka Punchnama,2011,Hindi,comedy,"comedy, romance, drama",Luv Ranjan,Kartik Aaryan,True,Verify if romance subplot is significant enough to tag as has_romance
Ready,2011,Hindi,comedy,"action, comedy, romance",Anees Bazmee,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Desi Boyz,2011,Hindi,comedy,"comedy, drama, romance",Rohit Dhawan,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Thank You,2011,Hindi,comedy,"comedy, romance",Anees Bazmee,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Pilla Zamindar,2011,Telugu,comedy,"comedy, romance, drama, family",Bhaskar,Nani,False,Verify if romance subplot is significant enough to tag as has_romance
Oh My Friend,2011,Telugu,comedy,"comedy, romance, drama",Venu Sriram,Siddharth,True,Verify if romance subplot is significant enough to tag as has_romance
Dil Toh Baccha Hai Ji,2011,Hindi,comedy,"comedy, romance, drama",Madhur Bhandarkar,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Ladies vs Ricky Bahl,2011,Hindi,comedy,"comedy, romance, crime",Maneesh Sharma,Ranveer Singh,True,Verify if romance subplot is significant enough to tag as has_romance
Aha Naa Pellanta,2011,Telugu,comedy,"comedy, romance, drama, family",Srinivasa Raju,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Mere Brother Ki Dulhan,2011,Hindi,comedy,"comedy, drama, romance",Ali Abbas Zafar,Imran Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Barfi!,2012,Hindi,comedy,"comedy, romance, drama, adventure",Anurag Basu,Ranbir Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Nanban,2012,Tamil,comedy,"comedy, drama, romance, family",S. Shankar,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Housefull 2,2012,Hindi,comedy,"comedy, romance, family",Sajid Khan,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Naduvula Konjam Pakkatha Kaanom,2012,Tamil,comedy,"comedy, drama, romance",Balaji Tharaneetharan,Vijay Sethupathi,True,Verify if romance subplot is significant enough to tag as has_romance
Oru Kal Oru Kannadi,2012,Tamil,comedy,"comedy, romance",S. Rajkumar,Udhayanidhi Stalin,True,Verify if romance subplot is significant enough to tag as has_romance
Son of Sardaar,2012,Hindi,comedy,"action, comedy, romance",Ashwni Dhir,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Denikaina Ready,2012,Telugu,comedy,"action, comedy, romance",Veerabhadram Chowdary,Prabhas,True,Verify if romance subplot is significant enough to tag as has_romance
Devudu Chesina Manushulu,2012,Telugu,comedy,"comedy, romance, action, family",Srinu Vaitla,Ravi Teja,True,Verify if romance subplot is significant enough to tag as has_romance
Saguni,2012,Tamil,comedy,"comedy, drama, romance",G. N. R. Kumaravelan,Karthi,True,Verify if romance subplot is significant enough to tag as has_romance
Jodi Breakers,2012,Hindi,comedy,"comedy, romance",Ashwni Dhir,Madhavan,True,Verify if romance subplot is significant enough to tag as has_romance
Chennai Express,2013,Hindi,comedy,"action, comedy, romance, adventure",Rohit Shetty,Shah Rukh Khan,False,Verify if romance subplot is significant enough to tag as has_romance
Attarintiki Daredi,2013,Telugu,comedy,"action, comedy, romance, drama, family",Trivikram Srinivas,Pawan Kalyan,False,Verify if romance subplot is significant enough to tag as has_romance
Grand Masti,2013,Hindi,comedy,"comedy, romance",Indra Kumar,Ritesh Deshmukh,True,Verify if romance subplot is significant enough to tag as has_romance
Varuthapadatha Valibar Sangam,2013,Tamil,comedy,"comedy, romance, drama, family",Pandiraj,Sivakarthikeyan,True,Verify if romance subplot is significant enough to tag as has_romance
Ethir Neechal,2013,Tamil,comedy,"action, comedy, romance, drama",Pandiraj,Sivakarthikeyan,True,Verify if romance subplot is significant enough to tag as has_romance
Idharkuthane Aasaipattai Balakumara,2013,Tamil,comedy,"comedy, romance, drama",Geetha Krishna,Vijay Sethupathi,True,Verify if romance subplot is significant enough to tag as has_romance
Swamy Ra Ra,2013,Telugu,comedy,"comedy, thriller, adventure, romance",Sudheer Varma,Nikhil Siddharth,True,Verify if romance subplot is significant enough to tag as has_romance
Greeku Veerudu,2013,Telugu,comedy,"action, comedy, romance, drama",Dasaradh,Nagarjuna,False,Verify if romance subplot is significant enough to tag as has_romance
Besharam,2013,Hindi,comedy,"action, comedy, romance",Abhinav Kashyap,Ranbir Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Settai,2013,Tamil,comedy,"comedy, romance, action",Suraaj,Arya,True,Verify if romance subplot is significant enough to tag as has_romance
All in All Azhagu Raja,2013,Tamil,comedy,"comedy, romance, drama, family",M. Rajesh,Karthi,True,Verify if romance subplot is significant enough to tag as has_romance
Matru Ki Bijlee Ka Mandola,2013,Hindi,comedy,"comedy, drama, romance, fantasy",Vishal Bhardwaj,Imran Khan,False,Verify if romance subplot is significant enough to tag as has_romance
PK,2014,Hindi,comedy,"comedy, drama, sci-fi, romance",Rajkumar Hirani,Aamir Khan,False,Verify if romance subplot is significant enough to tag as has_romance
Manikandan,2014,Tamil,comedy,"comedy, romance, drama",Pradeep Ranganathan,Pradeep Ranganathan,True,Verify if romance subplot is significant enough to tag as has_romance
Koottathil Oruthan,2014,Tamil,comedy,"comedy, romance, drama",Ramkumar,Ashwin Kakumanu,True,Verify if romance subplot is significant enough to tag as has_romance
Janda Pai Kapiraju,2014,Telugu,comedy,"comedy, romance, drama, family",Boopathy Pandian,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Happy Ending,2014,Hindi,comedy,"comedy, romance",Raj Nidimoru and Krishna D.K.,Saif Ali Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Maan Karate,2014,Tamil,comedy,"action, comedy, romance, drama",Thirukumaran Entertainment,Sivakarthikeyan,True,Verify if romance subplot is significant enough to tag as has_romance
Tanu Weds Manu Returns,2015,Hindi,comedy,"comedy, romance, drama",Aanand L. Rai,R. Madhavan,True,Verify if romance subplot is significant enough to tag as has_romance
Naanum Rowdy Dhaan,2015,Tamil,comedy,"action, comedy, romance, crime",Vignesh Shivan,Vijay Sethupathi,True,Verify if romance subplot is significant enough to tag as has_romance
Trisha Illana Nayanthara,2015,Tamil,comedy,"comedy, romance, drama",Nelson Dilipkumar,G. V. Prakash Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Porinju Mariam Jose,2015,Tamil,comedy,"comedy, romance, drama",Sidhartha Siva,Joju George,True,Verify if romance subplot is significant enough to tag as has_romance
Bhale Bhale Magadivoy,2015,Telugu,comedy,"comedy, romance",Maruthi,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Inji Iduppazhagi,2015,Tamil,comedy,"comedy, romance, drama, family",Anand L. Rai,Arya,True,Verify if romance subplot is significant enough to tag as has_romance
Kirik Party,2016,Kannada,comedy,"comedy, drama, romance, action",Rishab Shetty,Rakshit Shetty,True,Verify if romance subplot is significant enough to tag as has_romance
Oopiri,2016,Telugu,comedy,"comedy, drama, romance",Vamshi Paidipally,Nagarjuna,False,Verify if romance subplot is significant enough to tag as has_romance
Soggade Chinni Nayana,2016,Telugu,comedy,"comedy, romance, drama, fantasy, family",Kalyan Krishna,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Remo,2016,Tamil,comedy,"comedy, romance, drama, musical",Bakkiyaraj Kannan,Sivakarthikeyan,True,Verify if romance subplot is significant enough to tag as has_romance
Rajini Murugan,2016,Tamil,comedy,"comedy, romance, drama, family",Ponram,Sivakarthikeyan,True,Verify if romance subplot is significant enough to tag as has_romance
Oru Naal Koothu,2016,Tamil,comedy,"comedy, drama, romance",Nelson Dilipkumar,Dinesh,True,Verify if romance subplot is significant enough to tag as has_romance
Ekkadiki Pothavu Chinnavada,2016,Telugu,comedy,"comedy, horror, romance, adventure",Santhossh Jagarlapudi,Nikhil Siddhartha,True,Verify if romance subplot is significant enough to tag as has_romance
Abhinetri,2016,Telugu,comedy,"comedy, romance, horror, musical",A. Karunakaran,Prabhu Deva,True,Verify if romance subplot is significant enough to tag as has_romance
Nenu Rowdy Ne,2016,Telugu,comedy,"action, comedy, romance, drama",Kishore Tirumala,Vijay Deverakonda,True,Verify if romance subplot is significant enough to tag as has_romance
Nenu Nanna Abbayi,2016,Telugu,comedy,"comedy, romance, drama, family",Maruthi Dasari,Raj Tarun,True,Verify if romance subplot is significant enough to tag as has_romance
Housefull 3,2016,Hindi,comedy,"comedy, romance, family",Sajid-Farhad,Akshay Kumar,False,Verify if romance subplot is significant enough to tag as has_romance
Ki & Ka,2016,Hindi,comedy,"comedy, drama, romance",R. Balki,Arjun Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Bareilly Ki Barfi,2017,Hindi,comedy,"comedy, romance, drama",Ashwiny Iyer Tiwari,Kriti Sanon,True,Verify if romance subplot is significant enough to tag as has_romance
Shubh Mangal Saavdhan,2017,Hindi,comedy,"comedy, romance, drama",R.S. Prasanna,Ayushmann Khurrana,True,Verify if romance subplot is significant enough to tag as has_romance
Nenu Local,2017,Telugu,comedy,"action, comedy, romance",Trinadha Rao Nakkina,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Mahanubhavudu,2017,Telugu,comedy,"comedy, romance, drama",Maruthi Dasari,Sharwanand,True,Verify if romance subplot is significant enough to tag as has_romance
Jagga Jasoos,2017,Hindi,comedy,"adventure, comedy, musical, mystery, romance, family",Anurag Basu,Ranbir Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Mubarakan,2017,Hindi,comedy,"comedy, romance, family",Anees Bazmee,Anil Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Gajinikanth,2017,Tamil,comedy,"comedy, drama, romance",Santhosh P. Jayakumar,Arya,True,Verify if romance subplot is significant enough to tag as has_romance
Sonu Ke Titu Ki Sweety,2018,Hindi,comedy,"comedy, romance, drama",Luv Ranjan,Kartik Aaryan,True,Verify if romance subplot is significant enough to tag as has_romance
Oru Nalla Naal Paathu Solren,2018,Tamil,comedy,"comedy, drama, romance",Balaji Tharaneetharan,Vijay Sethupathi,True,Verify if romance subplot is significant enough to tag as has_romance
Kousalya Supraja Rama,2018,Telugu,comedy,"comedy, drama, family, romance",Srinivas Avasarala,Srinivas Avasarala,True,Verify if romance subplot is significant enough to tag as has_romance
Geetha,2018,Telugu,comedy,"action, comedy, romance, drama, family",K.V. Guhan,Ganesh,True,Verify if romance subplot is significant enough to tag as has_romance
Ee Nagaraniki Emaindi,2018,Telugu,comedy,"comedy, romance, adventure, drama",Tharun Bhascker,Vishwak Sen,True,Verify if romance subplot is significant enough to tag as has_romance
Good Newwz,2019,Hindi,comedy,"comedy, drama, romance, family",Raj Mehta,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Dream Girl,2019,Hindi,comedy,"comedy, romance, drama",Raaj Shaandilyaa,Ayushmann Khurrana,True,Verify if romance subplot is significant enough to tag as has_romance
Bala,2019,Hindi,comedy,"comedy, drama, romance",Amar Kaushik,Ayushmann Khurrana,True,Verify if romance subplot is significant enough to tag as has_romance
Housefull 4,2019,Hindi,comedy,"comedy, fantasy, romance, musical",Farhad Samji,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Comali,2019,Tamil,comedy,"comedy, drama, romance",Pradeep Ranganathan,Jayam Ravi,True,Verify if romance subplot is significant enough to tag as has_romance
F2: Fun and Frustration,2019,Telugu,comedy,"comedy, romance, family",Anil Ravipudi,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Savaari,2019,Telugu,comedy,"comedy, romance, drama, adventure",G.V. Raghunath,Naga Shaurya,True,Verify if romance subplot is significant enough to tag as has_romance
Oh! Baby,2019,Telugu,comedy,"comedy, drama, romance, fantasy, family",B.V. Nandini Reddi,Samantha,True,Verify if romance subplot is significant enough to tag as has_romance
De De Pyaar De,2019,Hindi,comedy,"comedy, romance, drama",Akiv Ali,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Mr. Local,2019,Tamil,comedy,"comedy, romance, drama",M. Rajesh,Sivakarthikeyan,True,Verify if romance subplot is significant enough to tag as has_romance
Bheeshma,2020,Telugu,comedy,"action, comedy, romance, drama",Venkat Kudumula,Nithiin,True,Verify if romance subplot is significant enough to tag as has_romance
Miss Match,2020,Telugu,comedy,"comedy, romance, drama",G. Nageswara Reddy,Aadhi Pinisetty,True,Verify if romance subplot is significant enough to tag as has_romance
Middle Class Melodies,2020,Telugu,comedy,"comedy, drama, romance, family",Vinod Anantoju,Anand Deverakonda,True,Verify if romance subplot is significant enough to tag as has_romance
Jawaani Jaaneman,2020,Hindi,comedy,"comedy, drama, romance, family",Nitin Kakkar,Saif Ali Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Suraj Pe Mangal Bhari,2020,Hindi,comedy,"comedy, romance, drama",Abhishek Sharma,Manoj Bajpayee,True,Verify if romance subplot is significant enough to tag as has_romance
14 Phere,2021,Hindi,comedy,"comedy, romance, drama, family",Devanshu Singh,Vikrant Massey,False,Verify if romance subplot is significant enough to tag as has_romance
Jug Jugg Jeeyo,2022,Hindi,comedy,"comedy, drama, romance, family",Raj Mehta,Varun Dhawan,True,Verify if romance subplot is significant enough to tag as has_romance
Cirkus,2022,Hindi,comedy,"comedy, drama, romance, musical",Rohit Shetty,Ranveer Singh,True,Verify if romance subplot is significant enough to tag as has_romance
Badhaai Do,2022,Hindi,comedy,"comedy, drama, romance, family",Harshavardhan Kulkarni,Rajkummar Rao,False,Verify if romance subplot is significant enough to tag as has_romance
Ante Sundaraniki,2022,Telugu,comedy,"comedy, romance, drama, family",Vivek Athreya,Nani,False,Verify if romance subplot is significant enough to tag as has_romance
Prince,2022,Tamil,comedy,"comedy, romance, action, musical",Anudeep K. V.,Sivakarthikeyan,False,Verify if romance subplot is significant enough to tag as has_romance
Bangarraju,2022,Telugu,comedy,"comedy, romance, drama, fantasy, musical",Kalyan Krishna,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Raja Raja Chora,2022,Telugu,comedy,"comedy, romance, drama, crime",Srinivas Avasarala,Sree Vishnu,True,Verify if romance subplot is significant enough to tag as has_romance
Enga Veetu Mapillai,2022,Tamil,comedy,"comedy, romance, drama, family",N. Rajasekar,Arya,True,Verify if romance subplot is significant enough to tag as has_romance
DJ Tillu,2022,Telugu,comedy,"comedy, crime, thriller, romance",Vimal Krishna,Siddhu Jonnalagadda,YES,Verify if romance subplot is significant enough to tag as has_romance
Laapataa Ladies,2023,Hindi,comedy,"comedy, drama, romance, family",Kiran Rao,Nitanshi Goel,True,Verify if romance subplot is significant enough to tag as has_romance
Bhool Chuk Maaf,2023,Hindi,comedy,"comedy, romance, drama",Karan Sharma,Rajkummar Rao,True,Verify if romance subplot is significant enough to tag as has_romance
Zara Hatke Zara Bachke,2023,Hindi,comedy,"comedy, romance, drama, family",Laxman Utekar,Vicky Kaushal,True,Verify if romance subplot is significant enough to tag as has_romance
Minsara Vanna Veedu,2023,Tamil,comedy,"comedy, romance, drama",Santhosh P Jayakumar,Santhanam,True,Verify if romance subplot is significant enough to tag as has_romance
Good Night,2023,Tamil,comedy,"comedy, romance, drama",Vinayak Chandrasekhar,Manikandan,True,Verify if romance subplot is significant enough to tag as has_romance
Oh Baby,2023,Tamil,comedy,"comedy, drama, fantasy, romance",Nandini Reddy,Samantha Prabhu,True,Verify if romance subplot is significant enough to tag as has_romance
Ilamai Thirumbudhe,2023,Tamil,comedy,"comedy, romance, drama",Santhosh P Jayakumar,Prashanth,True,Verify if romance subplot is significant enough to tag as has_romance
Mem Famous,2023,Telugu,comedy,"comedy, drama, romance",Sumanth Prabhas,Suhas,True,Verify if romance subplot is significant enough to tag as has_romance
Writer Padmabhushan,2023,Telugu,comedy,"comedy, drama, romance",Shanmukha Prasanth,Suhas,True,Verify if romance subplot is significant enough to tag as has_romance
Extra Ordinary Man,2023,Telugu,comedy,"comedy, romance, drama",Vakkantham Vamsi,Nithiin,True,Verify if romance subplot is significant enough to tag as has_romance
Chaave Ranga Chaave,2023,Telugu,comedy,"comedy, romance, drama, family",Srikant Addala,Allari Naresh,True,Verify if romance subplot is significant enough to tag as has_romance
Wild Wild Punjab,2024,Hindi,comedy,"comedy, romance, adventure",Unknown,Diljit Dosanjh,True,Verify if romance subplot is significant enough to tag as has_romance
Tillu Square,2024,Telugu,comedy,"action, comedy, romance, thriller, crime",Mallik Ram,Siddhu Jonnalagadda,True,Verify if romance subplot is significant enough to tag as has_romance
Housefull 5,2025,Hindi,comedy,"comedy, romance, mystery",Tarun Mansukhani,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
The Paradise,2025,Telugu,comedy,"comedy, romance, drama",Srinivas Avasarala,Nani,True,Verify if romance subplot is significant enough to tag as has_romance
Sankranthiki Vasthunam,2025,Telugu,comedy,"action, comedy, romance, family",Anil Ravipudi,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Palletoori Pilla,1950,Telugu,drama,"drama, family, romance",B.N. Reddi,N.T. Rama Rao,False,Verify if romance subplot is significant enough to tag as has_romance
Shavukaru,1950,Telugu,drama,"drama, comedy, romance, family",B.N. Reddi,N.T. Rama Rao,True,Verify if romance subplot is significant enough to tag as has_romance
Patala Bhairavi,1951,Telugu,drama,"drama, fantasy, adventure, action, musical, romance",K. V. Reddy,N. T. Rama Rao,False,Verify if romance subplot is significant enough to tag as has_romance
Parasakthi,1952,Tamil,drama,"drama, romance, historical, musical",R. Krishnan-S. Panju,Sivaji Ganesan,True,Verify if romance subplot is significant enough to tag as has_romance
Devadasu,1953,Telugu,drama,"drama, romance, musical",Vedantam Raghavaiah,Akkineni Nageswara Rao,False,Verify if romance subplot is significant enough to tag as has_romance
Mother India,1957,Hindi,drama,"drama, family, historical, romance",Mehboob Khan,Nargis,True,Verify if romance subplot is significant enough to tag as has_romance
Pyaasa,1957,Hindi,drama,"drama, romance, musical",Guru Dutt,Guru Dutt,True,Verify if romance subplot is significant enough to tag as has_romance
Kaagaz Ke Phool,1959,Hindi,drama,"drama, romance, musical",Guru Dutt,Guru Dutt,False,Verify if romance subplot is significant enough to tag as has_romance
The World of Apu,1959,Bengali,drama,"drama, family, romance",Satyajit Ray,Soumitra Chatterjee,True,Verify if romance subplot is significant enough to tag as has_romance
Paasa Malar,1961,Tamil,drama,"drama, romance, family",A. Bhimsingh,Gemini Ganesan,True,Verify if romance subplot is significant enough to tag as has_romance
